Name,Isin,TickerYahoo,Market,Currency
BNP ASust EU CorpD,LU2697596828,ACESD.PA,Euronext Paris,EUR
BNP ASust EU Gov,LU2697597552,AGES.PA,Euronext Paris,EUR
BNP ASust EU GovD,LU2697597719,AGESD.PA,Euronext Paris,EUR
BNP BB EURO AGG EC,LU1481202692,JBEM.PA,Euronext Paris,EUR
BNP EM SRI EC ESG,LU1659681230,EMIS.PA,Euronext Paris,EUR
BNP EM SRI PAB ED,LU1659681313,EISR.PA,Euronext Paris,EUR
BNP EM SRI PAB UC,LU1291098314,EMSR.PA,Euronext Paris,USD
BNP EU SRI PAB EC,LU1753045332,SRIEC.PA,Euronext Paris,EUR
BNP EU SRI PAB ED,LU1753045415,SRIE.PA,Euronext Paris,EUR
BNP EUR Ushr SRI C,LU2533812058,SRIUC.PA,Euronext Paris,EUR
BNP EUR Ushr SRI D,LU2533811910,SRIUD.PA,Euronext Paris,EUR
BNP JP SRI PAB EC,LU1753045845,SRIJC.PA,Euronext Paris,EUR
BNP JP SRI PAB ED,LU1753045928,SRIJ.PA,Euronext Paris,EUR
BNP LCEU PAB D ETF,LU2777377875,LCEUD.PA,Euronext Paris,EUR
BNP US SRI PAB EC,LU1659681586,EKLDC.PA,Euronext Paris,EUR
BNP US SRI PAB ED,LU1659681669,EKUS.PA,Euronext Paris,EUR
BNP US SRI PAB UC,LU1291103338,EKLD.PA,Euronext Paris,USD
BNP USD Corp SRI C,LU2616774076,USCBC.PA,Euronext Paris,USD
BNP USD Corp SRI D,LU2616776444,USCBD.PA,Euronext Paris,USD
BNP WD SRI PAB EC,LU1615092217,EMWE.PA,Euronext Paris,EUR
BNP WD SRI PAB UC,LU1291108642,EWRD.PA,Euronext Paris,USD
BNPP  BONDSRI ETF,LU1953136287,SRICD.PA,Euronext Paris,EUR
BNPP  EUR BOND SRI,LU1859444769,SRIC.PA,Euronext Paris,EUR
BNPP Agg BondSRI C,LU2533812991,BSRIC.PA,Euronext Paris,EUR
BNPP Agg BondSRI D,LU2533812728,BSRID.PA,Euronext Paris,EUR
BNPP Biodiv ETF,LU2446381555,BIODV.PA,Euronext Paris,EUR
BNPP Blue ESG ETF,LU2533813296,BLUSD.PA,Euronext Paris,USD
BNPP BONDSRI5 ETF,LU2446383338,SRIC6.PA,Euronext Paris,EUR
BNPP CAC 40 ESG,FR0010150458,E40.PA,Euronext Paris,EUR
BNPP CE LEADER ETF,LU1953136527,REUSE.PA,Euronext Paris,EUR
BNPP China EUR ETF,LU2314312849,CHINE.PA,Euronext Paris,EUR
BNPP China$ ETF,LU2314312922,CHINU.PA,Euronext Paris,USD
BNPP Circular ETF,LU2533810276,REUSD.PA,Euronext Paris,USD
BNPP CORP 1 3 ETF,LU2008760592,SRIC3.PA,Euronext Paris,EUR
BNPP CORP 3 5 ETF,LU2008761053,SRIC5.PA,Euronext Paris,EUR
BNPP EASY EPREUETF,LU1859445063,EEEH.PA,Euronext Paris,EUR
BNPP EASY JPH ESG,LU1481203070,EJAH.PA,Euronext Paris,EUR
BNPP EASY LOWCARB,LU1377382368,ECN.PA,Euronext Paris,EUR
BNPP EHY SRI C ETF,LU2244386053,HYSRI.PA,Euronext Paris,EUR
BNPP EHY SRI D ETF,LU2244386137,HSRID.PA,Euronext Paris,EUR
BNPP EMEHETF,LU1547516291,EMEH.PA,Euronext Paris,EUR
BNPP EmMk ESG ETF,LU1291097779,EEMK.PA,Euronext Paris,EUR
BNPP EMU ESG ETF,LU1291098827,EEMU.PA,Euronext Paris,EUR
BNPP EMU SRI PAB,LU1953137681,MUSRI.PA,Euronext Paris,EUR
BNPP EQDEU ESG,LU1615090864,EDEU.PA,Euronext Paris,EUR
BNPP ESG BLUE ETF,LU2194447293,BLUE.PA,Euronext Paris,EUR
BNPP ESGEMU IG 3YC,LU2533810862,GEU3C.PA,Euronext Paris,EUR
BNPP ESGEMU IG 3YD,LU2533810789,GEU3D.PA,Euronext Paris,EUR
BNPP ESGEMU3-5 ETF,LU2244387457,GEMU.PA,Euronext Paris,EUR
BNPP ESGGrowth ETF,LU2244387887,EGRO.PA,Euronext Paris,EUR
BNPP EU ESG ETF,LU1291099718,EEUE.PA,Euronext Paris,EUR
BNPP EU GREEN ETF,LU2008763935,GREAL.PA,Euronext Paris,EUR
BNPP EUROSTOXX50 C,FR0012739431,ETDD.PA,Euronext Paris,EUR
BNPP EURSTOX50 C/D,FR0012740983,ETBB.PA,Euronext Paris,EUR
BNPP FTSE Dv ETF,LU1291091228,EEP.PA,Euronext Paris,EUR
BNPP FTSE EUR ETFC,LU0950381748,EEA.PA,Euronext Paris,EUR
BNPP FTSE EUR ETFD,LU0192223062,EEE.PA,Euronext Paris- Amsterdam,EUR
BNPP Green CTB ETF,LU2365458905,GRCTB.PA,Euronext Paris,EUR
BNPP Greenbond ETF,LU2365458814,GSSBD.PA,Euronext Paris,EUR
BNPP GSCI ETF,LU1291109533,GSCU.PA,Euronext Paris,USD
BNPP Hydro ESG ETF,LU2533813023,HYDUS.PA,Euronext Paris,USD
BNPP Hydrogen ETF,LU2365458145,HYDRO.PA,Euronext Paris,EUR
BNPP Infra ESG ETF,IE0006O3TTP9,ENGUS.PA,Euronext Paris,USD
BNPP Infra ESG ETF,IE000FF2EBQ8,ENG.PA,Euronext Paris,EUR
BNPP JP ESG ETF,LU1291102447,EJAP.PA,Euronext Paris,EUR
BNPP LC EU100D PAB,LU1377382442,ECND.PA,Euronext Paris,EUR
BNPP LC EURPAB ETF,LU2194448267,LCEZ.PA,Euronext Paris,EUR
BNPP LCWPAB ETF,LU2194449075,LCWLD.PA,Euronext Paris,EUR
BNPP LowVol EU ESG,LU1377381717,EVOE.PA,Euronext Paris,EUR
BNPP LowVol US ESG,LU1377381980,EVOU.PA,Euronext Paris,EUR
BNPP LWVOLEU ESG,LU1481201025,VLED.PA,Euronext Paris,EUR
BNPP LWVOLUS D ESG,LU1481201298,VLUD.PA,Euronext Paris,EUR
BNPP Med Tech ETF,LU2365457410,MEDTE.PA,Euronext Paris,EUR
BNPP MedT ESG ETF,LU2533811084,MTUSD.PA,Euronext Paris,USD
BNPP Moment EU ESG,LU1377382012,EMOM.PA,Euronext Paris,EUR
BNPP MOMENTUMD ESG,LU1481201538,MOED.PA,Euronext Paris,EUR
BNPP N Am ESG ETF,LU1291104575,ENAM.PA,Euronext Paris,EUR
BNPP Pac xJP ESG,LU1291106356,EPEJ.PA,Euronext Paris,EUR
BNPP Quali EU ESG,LU1377382103,EQUA.PA,Euronext Paris,EUR
BNPP QUALITYD ESG,LU1481201611,QUED.PA,Euronext Paris,EUR
BNPP SC SRI PAB,LU1291101555,EESM.PA,Euronext Paris,EUR
BNPP SP500 ESG EUH,IE000Q6C8036,SPEUH.PA,Euronext Paris,EUR
BNPP SP500 ESG EUR,IE0004J37T45,SPEEU.PA,Euronext Paris,EUR
BNPP SP500 ESG USD,IE0000VX9GN7,SPEUS.PA,Euronext Paris,USD
BNPP SP500 EUR C,FR0011550185,ESE.PA,Euronext Paris,EUR
BNPP SP500 EURH C,FR0013041530,ESEH.PA,Euronext Paris,EUR
BNPP SP500 USD C,FR0011550177,ESD.PA,Euronext Paris,USD
BNPP SP500 USD CD,FR0011550680,ESDD.PA,Euronext Paris,USD
BNPP Stoxx 600C,FR0011550193,ETZ.PA,Euronext Paris,EUR
BNPP Stoxx 600CD,FR0011550672,ETZD.PA,Euronext Paris,EUR
BNPP Value EU ESG,LU1377382285,EVAE.PA,Euronext Paris,EUR
BNPP VALUED ESG,LU1481201702,VALD.PA,Euronext Paris,EUR
BNPP WLD PAB ETF D,LU2641925016,EMWD.PA,Euronext Paris,EUR
BNPP World ESG ETF,IE0008FB2WZ1,WEMTE.PA,Euronext Paris,USD
BNPP World ESG ETF,IE000W8HP9L8,WEMT2.PA,Euronext Paris,EUR
BNPPGreenbondD ETF,LU2365458731,GSSBO.PA,Euronext Paris,EUR
BNPPJPM ESGEMH ETF,LU1547515137,EMBH.PA,Euronext Paris,EUR
BTCetc EUR,DE000A27Z304,BTCE.PA,Euronext Paris,EUR
DDA Ph Bitcoin ETP,DE000A3GK2N1,XBTI.PA,Euronext Paris,EUR
EMQQ-INTRNTECOMM,IE00BFYN8Y92,EMQQ.PA,Euronext Paris,EUR
ETHetc EUR,DE000A3GMKD7,ZETH.PA,Euronext Paris,EUR
EUGD UCITS ETF,IE0007WMHDE3,EUGD.PA,Euronext Paris,EUR
FIRST TRUST GLOBAL,IE00BYTH6121,FGBL.PA,Euronext Paris,EUR
FIRST TRUST IPO,IE00BYTH6238,FPXU.PA,Euronext Paris,USD
Gbl Cln Enrgy US A,IE000U58J0M1,INRE.PA,Euronext Paris,EUR
H MSCI JP IS ESG,IE0001XCFC82,HIJS.PA,Euronext Paris,EUR
HAMO,CH1218734544,HAMO.PA,Euronext Paris,EUR
HAN AHCL ETF,IE00BMFNW783,TRYP.PA,Euronext Paris,EUR
HAN DIGI INFRA,IE00BL643144,DIGI.PA,Euronext Paris,EUR
HAN HLTH EQL WT,IE00BJQTJ848,WELL.PA,Euronext Paris,EUR
HAN MINING ETF,IE00BNTVVR89,ESGO.PA,Euronext Paris,EUR
HAN-GINS TECH MEGA,IE00BDDRF700,ITEK.PA,Euronext Paris,EUR
HASH,CH1184151731,HASH.PA,Euronext Paris,EUR
HSBC APACXJ SU ETF,IE00BKY58G26,HSXD.PA,Euronext Paris,EUR
HSBC DW SUS ETF,IE00BKY59K37,HSWD.PA,Euronext Paris,EUR
HSBC EM SUS ETF,IE00BKY59G90,HSEM.PA,Euronext Paris,EUR
HSBC EUROSTX50 ETF,IE00B4K6B022,50E.PA,Euronext Paris,EUR
HSBC FTSE 100 ETF,IE00B42TW061,UKX.PA,Euronext Paris,EUR
HSBC HSENG TCH ETF,IE00BMWXKN31,HSTE.PA,Euronext Paris,EUR
HSBC MSCI BRAZIL,IE00B5W34K94,HBZ.PA,Euronext Paris,EUR
HSBC MSCI CANADA,IE00B51B7Z02,HCAN.PA,Euronext Paris,EUR
HSBC MSCI CHINA,IE00B44T3H88,CNY.PA,Euronext Paris,EUR
HSBC MSCI EM LATAM,IE00B4TS3815,HMLA.PA,Euronext Paris,EUR
HSBC MSCI EMIS,IE0009BC6K22,HIES.PA,Euronext Paris,EUR
HSBC MSCI EU IS,IE000AGFZM58,HIPS.PA,Euronext Paris,EUR
HSBC MSCI EUR ETF,IE00B5BD5K76,HEU.PA,Euronext Paris,EUR
HSBC MSCI PACxJAP,IE00B5SG8Z57,MXJ.PA,Euronext Paris,EUR
HSBC MSCI TURKEY,IE00B5BRQB73,HTR.PA,Euronext Paris,EUR
HSBC MSCI USA ETF,IE00B5WFQ436,MUS.PA,Euronext Paris,EUR
HSBC MSCI USA IS,IE000I5NV504,HIUS.PA,Euronext Paris,EUR
HSBC MSCI WLD IS,IE000X9FTI22,HIWS.PA,Euronext Paris,EUR
HSBC MSCI WORLD,IE00B4X9L533,WRD.PA,Euronext Paris,EUR
HSBC MSCIJAPAN ETF,IE00B5VX7566,MJP.PA,Euronext Paris,EUR
HSBC MUCPAB ETF,IE00BP2C1S34,HPAU.PA,Euronext Paris,EUR
HSBC SP 500 ETF,IE00B5KQNG97,HHH.PA,Euronext Paris,EUR
HSBC UK SUS EQ ETF,IE00BKY53D40,HSUK.PA,Euronext Paris,EUR
HSBC W ESG BD Ac,IE0002UTLE51,HBDS.PA,Euronext Paris,EUR
HSBCBBGAGGCORPETF,IE000XGNMWE1,HAGG.PA,Euronext Paris,EUR
HSBCJAPNSUSUSDDIST,IE000J3F4J90,HSJA.PA,Euronext Paris,EUR
HSBCMSCICNAUSDACC,IE000Z4OYPZ6,HCAS.PA,Euronext Paris,EUR
HSBCMSCICNUSDACC,IE0007P4PBU1,HCHS.PA,Euronext Paris,EUR
HSBCMSCIEMSCAPESG,IE000W080FK3,HESS.PA,Euronext Paris,EUR
HSBCMSCIEMUSDACC,IE000KCS7J59,HEMA.PA,Euronext Paris,EUR
HSBCMSCIEMVALESG,IE000NVVIF88,HEVS.PA,Euronext Paris,EUR
HSBCMSCIEUROEURACC,IE000ZQOIPB1,HMES.PA,Euronext Paris,EUR
HSBCMSCIJAPNUSDACC,IE0006RFB3X2,HMJS.PA,Euronext Paris,EUR
HSBCMSCIWLDSCAPESG,IE000C692SN6,HWSS.PA,Euronext Paris,EUR
HSBCMSCIWLDVALESG,IE000LYBU7X5,HWVS.PA,Euronext Paris,EUR
HSBCMSCIWRLDEURHED,IE000QMIHY81,HWOE.PA,Euronext Paris,EUR
iBds D25 $ Trea Ac,IE000U99N3V1,TI25.PA,Euronext Paris,EUR
iBds D25 Term E Ac,IE000GUOATN7,IB25.PA,Euronext Paris,EUR
iBds D26 Term E Ac,IE000WA6L436,B26A.PA,Euronext Paris,EUR
iBds D27 Term $ Ac,IE000I1D7D10,DI27.PA,Euronext Paris,EUR
iBds D27 Term E Ac,IE000ZOI8OK5,IB27.PA,Euronext Paris,EUR
iBds D28 Term E Ac,IE0008UEVOE0,B28A.PA,Euronext Paris,EUR
ICLIMA GLOBAL,IE00BNC1F287,CLMA.PA,Euronext Paris,EUR
iS China Bond Acc,IE00BKPSFD61,CYEA.PA,Euronext Paris,EUR
iS Div Comm Swp DE,DE000A0H0728,CMSE.PA,Euronext Paris,EUR
iS Glo Semi Acc,IE000I8KRLL9,SEME.PA,Euronext Paris,EUR
IS SMRT CY IN ACC,IE00BKTLJC87,CITY.PA,Euronext Paris,EUR
ISH DIG EN & ED US,IE00023EZQ82,DGGE.PA,Euronext Paris,EUR
iSh iBd Dc25 E Dst,IE000NXQKHU1,IBE5.PA,Euronext Paris,EUR
iSh iBd Dc27 E Dst,IE000H5X52W8,IBE7.PA,Euronext Paris,EUR
iSh iBD26 US Ac PR,IE000BWITBP9,26ID.PA,Euronext Paris,EUR
iSh iBD28 US Ac PR,IE0000UJ3480,28ID.PA,Euronext Paris,EUR
iSh iBds Dc25 $ Ac,IE0000X2DXK3,ID25.PA,Euronext Paris,EUR
ISH MSCI EXCHNA US,IE00BMG6Z448,MTPI.PA,Euronext Paris,EUR
ISH USA SWAP EUR,IE0002W8NB38,MUSA.PA,Euronext Paris,EUR
iSh Wld Swp PEA EU,IE0002XZSHO1,WPEA.PA,Euronext Paris,EUR
IVZ All World 3000,IE00B23LNQ02,PSRW.PA,Euronext Paris,EUR
IVZ EQQQ,IE0032077012,EQQQ.PA,Euronext Paris,EUR
IVZ EUR STOXX HDLV,IE00BZ4BMM98,EUHD.PA,Euronext Paris,EUR
IVZ EURMTS CASH 3M,IE00B3BPCH51,PEU.PA,Euronext Paris,EUR
IVZ FTSE EM HDLV,IE00BYYXBF44,EMHD.PA,Euronext Paris,EUR
IVZ FTSE RAFI EM,IE00B23D9570,PEH.PA,Euronext Paris,EUR
IVZ FTSE RAFI EURO,IE00B23D8X81,PEF.PA,Euronext Paris,EUR
IVZ FTSE RAFI US,IE00B23D8S39,PFT.PA,Euronext Paris,EUR
IVZ Gbl Buyback,IE00BLSNMW37,BUYB.PA,Euronext Paris,EUR
IVZ SP500 HDLV,IE00BWTN6Y99,HDLV.PA,Euronext Paris,EUR
IVZ SP500 QVM,IE00BDZCKK11,PQVM.PA,Euronext Paris,EUR
IVZ US HYFA,IE00BD0Q9673,HYFA.PA,Euronext Paris,EUR
LTCetc EUR,DE000A3GN5J9,ELTC.PA,Euronext Paris,EUR
LYXOR DIG ECO,LU2023678878,EBUY.PA,Euronext Paris,EUR
LYXOR DISRUP TECH,LU2023678282,UNIC.PA,Euronext Paris,EUR
LYXOR EMU GROWTH,LU1598688189,GWT.PA,Euronext Paris,EUR
LYXOR EMU VALUE,LU1598690169,VAL.PA,Euronext Paris,EUR
LYXOR ETF DJ GT50,FR0007075494,MGT.PA,Euronext Paris,EUR
LYXOR FUTUR MOB,LU2023679090,ELCR.PA,Euronext Paris,EUR
LYXOR GENDER EQUAL,LU1691909508,ELLE.PA,Euronext Paris,EUR
LYXOR MILLENNIALS,LU2023678449,MILL.PA,Euronext Paris,EUR
LYXOR SMART CITY,LU2023679256,IQCT.PA,Euronext Paris,EUR
LYXOR STX 600 AUTO,LU1834983394,AUT.PA,Euronext Paris,EUR
LYXOR STX 600 FIN,LU1834984798,FIN.PA,Euronext Paris,EUR
LYXOR STX 600 INDU,LU1834987890,IND.PA,Euronext Paris,EUR
LYXOR STX EU FO BE,LU1834985845,FOO.PA,Euronext Paris,EUR
LYXOR STX600 CHEMI,LU1834983634,CHM.PA,Euronext Paris,EUR
LYXOR STX600 CONMA,LU1834983808,CST.PA,Euronext Paris,EUR
LYXOR STX600 GOODS,LU1834988351,PHG.PA,Euronext Paris,EUR
LYXOR STX600 TRAVL,LU1834988781,TRV.PA,Euronext Paris,EUR
METAVRSE UCITS ETF,IE000KDY10O3,METR.PA,Euronext Paris,EUR
MSCI W Climate PA,IE000CL68Z69,PABW.PA,Euronext Paris,EUR
MSCI W ESG B CTB S,IE0001GSQ2O9,LWCR.PA,Euronext Paris,EUR
MULTI ETF BTP DDS,FR0011023621,BTPS.PA,Euronext Paris,EUR
MULTI ETF T B 10Y,FR0011607084,DSUS.PA,Euronext Paris,EUR
MULTI Hwabao Chin,FR0011720911,CNAA.PA,Euronext Paris,EUR
MULTI LIQU CORP LD,LU1407891602,COUK.PA,Euronext Paris,EUR
MULTI MSCI WdHEUR,FR0014003N93,WLDHC.PA,Euronext Paris,EUR
MULTI US-T 7-10Y,LU2338178481,U710H.PA,Euronext Paris,HKD
MULTI UST 1-3Y,LU1407887162,US13.PA,Euronext Paris,EUR
MULTI UST 3-7Y,LU1407888996,US37.PA,Euronext Paris,EUR
MULTI USTreas 1-3Y,LU2338178218,U13HK.PA,Euronext Paris,HKD
NATO UCITS ETF,IE000OJ5TQP4,NATO.PA,Euronext Paris,EUR
Os BLM (EUR),LU1847674733,OP2E.PA,Euronext Paris,EUR
Os BLM ASIA P(EUR),LU2491210618,OP6E.PA,Euronext Paris,EUR
Os Blm CA (EUR),IE0006QX3Y11,OP8E.PA,Euronext Paris,EUR
Os BLM EX (EUR),LU1655103486,OP4E.PA,Euronext Paris,EUR
Os BLM JAP (Eur),LU1655103643,OP5E.PA,Euronext Paris,EUR
Os BLM JAP (HDG),LU1655103726,OP5H.PA,Euronext Paris,EUR
Os Blm US (Eur),IE000IIED424,OP7E.PA,Euronext Paris,EUR
Os Blm US (HGD),IE000JCGTOP1,OP7H.PA,Euronext Paris,EUR
OSSIAM 5OGE ETF,LU2555926455,5OGE.PA,Euronext Paris,EUR
OSSIAM 5OGU ETF,LU2555926372,5OGU.PA,Euronext Paris,USD
OSSIAM ETF CAPE EU,LU1079842321,CAPE.PA,Euronext Paris,EUR
OSSIAM ETF CAPE US,LU1079841273,CAPU.PA,Euronext Paris,EUR
OSSIAM EURP EQUI W,LU0599613147,S6EW.PA,Euronext Paris,EUR
PROCURE-SPACEUCITS,IE00BLH3CV30,YODA.PA,Euronext Paris,EUR
SPDR 0-3 EUR CORP,IE00BC7GZW19,SEUC.PA,Euronext Paris,EUR
SPDR 1-3 EUR GOV,IE00B6YX5F63,GOVS.PA,Euronext Paris,EUR
SPDR 500 LOW VOL,IE00B802KR88,LOWV.PA,Euronext Paris,EUR
SPDR ACWI,IE00B44Z5B48,ACWE.PA,Euronext Paris,EUR
SPDR ACWI IMI,IE00B3YLTY66,IMIE.PA,Euronext Paris,EUR
SPDR EM Asia,IE00B466KX20,EMAE.PA,Euronext Paris,EUR
SPDR EMD LOCAL,IE00B4613386,EMLD.PA,Euronext Paris,EUR
SPDR Emerging,IE00B469F816,EMRG.PA,Euronext Paris,EUR
SPDR ER HIGH YIELD,IE00B6YX5M31,JNKE.PA,Euronext Paris,EUR
SPDR EU SM.CAP,IE00BKWQ0M75,SMC.PA,Euronext Paris,EUR
SPDR EUR DIV ARIST,IE00B5M1WJ87,EUDV.PA,Euronext Paris,EUR
SPDR Euro Agg,IE00B41RYL63,EAGG.PA,Euronext Paris,EUR
SPDR Euro Corp,IE00B3T9LM79,EUCO.PA,Euronext Paris,EUR
SPDR EURO LV,IE00BFTWP510,ELOW.PA,Euronext Paris,EUR
SPDR MSCI CO.DI,IE00BKWQ0C77,STR.PA,Euronext Paris,EUR
SPDR MSCI CO.ST,IE00BKWQ0D84,STS.PA,Euronext Paris,EUR
SPDR MSCI COMM,IE00BKWQ0N82,STT.PA,Euronext Paris,EUR
SPDR MSCI EMU,IE00B910VR50,EMUE.PA,Euronext Paris,EUR
SPDR MSCI ENERGY,IE00BKWQ0F09,STN.PA,Euronext Paris,EUR
SPDR MSCI EUROPE,IE00BKWQ0Q14,ERO.PA,Euronext Paris,EUR
SPDR MSCI FINANC,IE00BKWQ0G16,STZ.PA,Euronext Paris,EUR
SPDR MSCI HLT,IE00BKWQ0H23,STW.PA,Euronext Paris,EUR
SPDR MSCI INDUST,IE00BKWQ0J47,STQ.PA,Euronext Paris,EUR
SPDR MSCI JapanETF,IE00BZ0G8B96,JPJY.PA,Euronext Paris,JPY
SPDR MSCI MAT,IE00BKWQ0L68,STP.PA,Euronext Paris,EUR
SPDR MSCI TECHNO,IE00BKWQ0K51,STK.PA,Euronext Paris,EUR
SPDR MSCI UTIL,IE00BKWQ0P07,STU.PA,Euronext Paris,EUR
SPDR RUSSELL 2K,IE00BJ38QD84,R2US.PA,Euronext Paris,EUR
SPDR S&P 400 MID,IE00B4YBJ215,SPY4.PA,Euronext Paris,EUR
SPDR S&P 500,IE00B6YX5C33,SPY5.PA,Euronext Paris,EUR
SPDR US Treasury,IE00B44CND37,TSYE.PA,Euronext Paris,EUR
US GLOBAL JETS,IE00BN76Y761,JETZ.PA,Euronext Paris,EUR
Vanguard ESG GCDIS,IE00BNDS1Q47,V3GE.AS,Euronext Amsterdam- Paris,EUR
Vanguard ESGDAACC,IE000GOJO2A3,V3PA.AS,Euronext Amsterdam- Paris,EUR
Vanguard ESGDADIS,IE0008T6IUX0,V3PL.AS,Euronext Amsterdam- Paris,EUR
Vanguard ESGDEACC,IE000QUOSE01,V3EA.AS,Euronext Amsterdam- Paris,EUR
Vanguard ESGDEDIS,IE000NRGX9M3,V3EL.AS,Euronext Amsterdam- Paris,EUR
Vanguard ESGECBACC,IE000QADMYA3,V3RE.AS,Euronext Amsterdam- Paris,EUR
Vanguard ESGECBDIS,IE000F37PGZ3,V3RF.AS,Euronext Amsterdam- Paris,EUR
Vanguard ESGEMACC,IE000KPJJWM6,V3MA.AS,Euronext Amsterdam- Paris,EUR
Vanguard ESGEMDIS,IE0001VXZTV7,V3ML.AS,Euronext Amsterdam- Paris,EUR
Vanguard ESGGAACC,IE00BNG8L278,V3AA.AS,Euronext Amsterdam- Paris,EUR
Vanguard ESGGADIS,IE00BNG8L385,V3AL.AS,Euronext Amsterdam- Paris,EUR
Vanguard ESGNAACC,IE000O58J820,V3NA.AS,Euronext Amsterdam- Paris,EUR
Vanguard ESGNADIS,IE000L2ZNB07,V3NL.AS,Euronext Amsterdam- Paris,EUR
Vanguard ESGUCBACC,IE000EKJRSZ3,V3SE.AS,Euronext Amsterdam- Paris,EUR
Vanguard ESGUCBDIS,IE000RO1O3N4,V3SU.AS,Euronext Amsterdam- Paris,EUR
Vanguard ESGUCBDIS,IE000JQV8511,V3SD.AS,Euronext Amsterdam- Paris,EUR
VANGUARD EURCORPBD,IE00BZ163G84,VECP.AS,Euronext Amsterdam- Paris,EUR
VANGUARD EURGVBD,IE00BZ163H91,VETY.AS,Euronext Amsterdam- Paris,EUR
VANGUARD FTSE DE,IE00BKX55S42,VERX.AS,Euronext Amsterdam- Paris,EUR
VANGUARD FTSE DW,IE00BKX55T58,VEVE.AS,Euronext Amsterdam- Paris,EUR
VANGUARD FTSE EM,IE00B3VVMM84,VFEM.AS,Euronext Amsterdam- Paris,EUR
VANGUARD FTSE JPN,IE00B95PGT31,VJPN.AS,Euronext Amsterdam- Paris,EUR
VANGUARD USDCORPBD,IE00BZ163K21,VUCP.AS,Euronext Amsterdam- Paris,EUR
VANGUARD USDEMGVBN,IE00BZ163L38,VEMT.AS,Euronext Amsterdam- Paris,EUR
VANGUARD USDTRBOND,IE00BZ163M45,VUTY.AS,Euronext Amsterdam- Paris,EUR
VE Bitcoin,DE000A28M8D0,VBTC.PA,Euronext Paris,EUR
VE Ethereum,DE000A3GPSP7,VETH.PA,Euronext Paris,EUR
VE Polkadot,DE000A3GSUC5,VDOT.PA,Euronext Paris,EUR
VE Solana,DE000A3GSUD3,VSOL.PA,Euronext Paris,EUR
VE TRON,DE000A3GSUE1,VTRX.PA,Euronext Paris,EUR
WisdomTree Bitcoin,GB00BJYDH287,WBTC.PA,Euronext Paris,EUR
WT AI - USD Acc,IE00BDVPNG13,WTAI.PA,Euronext Paris,EUR
WT Battery-USD Acc,IE00BKLF1R75,VOLT.PA,Euronext Paris,EUR
WT Brent Crude Oil,JE00B78CGV99,BRNT.PA,Euronext Paris,EUR
WT CAC 40 3x DL,XS2637077020,3CAC.PA,Euronext Paris,EUR
WT CAC 40 3x DS,XS2637077533,3CAS.PA,Euronext Paris,EUR
WT Cloud - USD Acc,IE00BJGWQN72,WCLD.PA,Euronext Paris,EUR
WT Core Phys Gold,JE00BN2CJ301,WGLD.PA,Euronext Paris,EUR
WT Cyb-USD Acc,IE00BLPK3577,WCBR.PA,Euronext Paris,EUR
WT EZ QDG-EUR Acc,IE00BZ56TQ67,EGRA.PA,Euronext Paris,EUR
WT Gl QDG-USD INST,IE00030Y2P41,GGRI.PA,Euronext Paris,EUR
