I,TickerYahoo,Name,Isin
1,AB.PA,AB SCIENCE,FR0010557264
1,ABCA.PA,ABC ARBITRAGE,FR0004040608
1,AC.PA,ACCOR,FR0000120404
1,ADOC.PA,ADOCIA,FR0011184241
1,ADP.PA,ADP,FR0010340141
1,AF.PA,AIR FRANCE - KLM,FR001400J770
1,AI.PA,AIR LIQUIDE,FR0000120073
1,AIR.PA,AIRBUS,NL0000235190
1,AKW.PA,AKWEL,FR0000053027
1,ALO.PA,ALSTOM,FR0010220475
1,LTA.PA,ALTAMIR,FR0000053837
1,ALTA.PA,ALTAREA,FR0000033219
1,ATE.PA,ALTEN,FR0000071946
1,AMUN.PA,AMUNDI,FR0004125920
1,ARG.PA,ARGAN,FR0010481960
1,AKE.PA,ARKEMA,FR0010313833
1,PRC.PA,ARTMARKET.COM,FR0000074783
1,ASY.PA,ASSYSTEM,FR0000074148
1,ATO.PA,ATOS,FR0000051732
1,AUB.PA,AUBAY,FR0000063737
1,AVT.PA,AVENIR TELECOM,FR001400CFI7
1,CS.PA,AXA,FR0000120628
1,74SW.PA,AXWAY SOFTWARE,FR0011040500
1,BAIN.PA,BAINS DE MER MONACO,MC0000031187
1,BEN.PA,BENETEAU,FR0000035164
1,BB.PA,BIC,FR0000120966
1,BIG.PA,BIGBEN INTERACTIVE,FR0000074072
1,BIM.PA,BIOMERIEUX,FR0013280286
1,BNP.PA,BNP PARIBAS,FR0000131104
1,BOI.PA,BOIRON,FR0000061129
1,BOL.PA,BOLLORE SE,FR0000039299
1,BON.PA,BONDUELLE,FR0000063935
1,EN.PA,BOUYGUES,FR0000120503
1,BVI.PA,BUREAU VERITAS,FR0006174348
1,CAP.PA,CAPGEMINI,FR0000125338
1,CARM.PA,CARMILA,FR0010828137
1,CA.PA,CARREFOUR,FR0000120172
1,CO.PA,CASINO GUICHARD PERRACHON,FR0000125585
1,ALCGM.PA,CEGEDIM,FR0000053506
1,CRI.PA,CHARGEURS,FR0000130692
1,CDI.PA,CHRISTIAN DIOR,FR0000130403
1,CDA.PA,CIE DES ALPES,FR0000053324
1,ALCIS.PA,CIS (CATERING INTL SERVICES),FR0000064446
1,CLA.PA,CLARANOVA,FR0013426004
1,CLARI.PA,CLARIANE,FR0010386334
1,COFA.PA,COFACE,FR0010667147
1,ODET.PA,COMP DE L'ODET,FR0000062234
1,COV.PA,COVIVIO,FR0000064578
1,ACA.PA,CREDIT AGRICOLE SA,FR0000045072
1,CEN.PA,CRIT,FR0000036675
1,BN.PA,DANONE,FR0000120644
1,AM.PA,DASSAULT AVIATION,FR0014004L86
1,DSY.PA,DASSAULT SYSTEMES,FR0014003TT8
1,DBV.PA,DBV TECHNOLOGIES,FR0010417345
1,ALDMS.PA,DMS,FR0012202497
1,EDEN.PA,EDENRED,FR0010908533
1,FGR.PA,EIFFAGE,FR0000130452
1,EKI.PA,EKINOPS,FR0011466069
1,ELIOR.PA,ELIOR GROUP,FR0011950732
1,ELIS.PA,ELIS,FR0012435121
1,ENGI.PA,ENGIE,FR0010208488
1,EQS.PA,EQUASENS,FR0012882389
1,ERA.PA,ERAMET,FR0000131757
1,EL.PA,ESSILORLUXOTTICA,FR0000121667
1,RF.PA,EURAZEO,FR0000121121
1,EAPI.PA,EUROAPI,FR0014008VX5
1,ERF.PA,EUROFINS SCIENTIFIC,FR0014000MR3
1,ENX.PA,EURONEXT,NL0006294274
1,ALECP.PA,EUROPACORP,FR0010490920
1,ETL.PA,EUTELSAT COMMUNIC.,FR0010221234
1,EXA.PA,EXAIL TECHNOLOGIES,FR0000062671
1,EXE.PA,EXEL INDUSTRIES A,FR0004527638
1,FMONC.PA,FINANCIERE MONCEY,FR0000076986
1,FNAC.PA,FNAC DARTY,FR0011476928
1,FRVIA.PA,FORVIA,FR0000121147
1,GFC.PA,GECINA,FR0010040865
1,GNFT.PA,GENFIT,FR0004163111
1,GET.PA,GETLINK (ex: EUROTUNNEL),FR0010533075
1,GLO.PA,GL EVENTS,FR0000066672
1,GTT.PA,GTT (GAZTRANSPORT ET TEC.),FR0011726835
1,PIG.PA,HAULOTTE GROUP,FR0000066755
1,RMS.PA,HERMES INTL,FR0000052292
1,ALHEX.PA,HEXAOM,FR0004159473
1,ICAD.PA,ICADE,FR0000035081
1,IDL.PA,ID LOGISTICS,FR0010929125
1,NK.PA,IMERYS,FR0000120859
1,IPH.PA,INNATE PHARMA,FR0010331421
1,ITP.PA,INTERPARFUMS,FR0004024222
1,IPN.PA,IPSEN,FR0010259150
1,IPS.PA,IPSOS,FR0000073298
1,JCQ.PA,JACQUET METALS,FR0000033904
1,DEC.PA,JCDECAUX,FR0000077919
1,KER.PA,KERING,FR0000121485
1,LI.PA,KLEPIERRE,FR0000121964
1,OR.PA,L'OREAL,FR0000120321
1,MMB.PA,LAGARDERE SA,FR0000130213
1,LOUP.PA,LDC,FR0013204336
1,LSS.PA,LECTRA,FR0000065484
1,LR.PA,LEGRAND,FR0010307819
1,FII.PA,LISI,FR0000050353
1,LNA.PA,LNA SANTE,FR0004170017
1,LBIRD.PA,LUMIBIRD,FR0000038242
1,MC.PA,LVMH,FR0000121014
1,MMT.PA,M6 METROPOLE TELE.,FR0000053225
1,MTU.PA,MANITOU BF,FR0000038606
1,MBWS.PA,MARIE BRIZARD,FR0000060873
1,IAM.PA,MAROC TELECOM,MA0000011488
1,MAU.PA,MAUREL & PROM,FR0000051070
1,MERY.PA,MERCIALYS,FR0010241638
1,MRN.PA,MERSEN,FR0000039620
1,METEX.PA,METABOLIC EXPLORER,FR0004177046
1,ML.PA,MICHELIN,FR001400AJ45
1,NANO.PA,NANOBIOTIX,FR0011341205
1,NEX.PA,NEXANS,FR0000044448
1,NXI.PA,NEXITY,FR0010112524
1,ALCOX.PA,NICOX,FR0013018124
1,NOKIA.PA,NOKIA,FI0009000681
1,SBT.PA,OENEO,FR0000052680
1,ORA.PA,ORANGE,FR0000133308
1,EMEIS.PA,ORPEA,FR001400NLM4
1,OSE.PA,OSE IMMUNO,FR0012127173
1,OVH.PA,OVHCLOUD,FR0014005HJ9
1,RI.PA,PERNOD RICARD,FR0000120693
1,PEUG.PA,PEUGEOT INVEST,FR0000064784
1,VAC.PA,PIERRE ET VACANCES,FR0000073041
1,PVL.PA,PLASTiVALOIRE,FR0013252186
1,ALPRG.PA,PROLOGUE,FR0010380626
1,PUB.PA,PUBLICIS GROUPE,FR0000130577
1,QDT.PA,QUADIENT,FR0000120560
1,RAL.PA,RALLYE,FR0000060618
1,GDS.PA,RAMSAY GENERALE,FR0000044471
1,RCO.PA,REMY COINTREAU,FR0000130395
1,RNO.PA,RENAULT,FR0000131906
1,RXL.PA,REXEL,FR0010451203
1,RUI.PA,RUBIS,FR0013269123
1,SAF.PA,SAFRAN,FR0000073272
1,SGO.PA,SAINT-GOBAIN,FR0000125007
1,SAN.PA,SANOFI,FR0000120578
1,DIM.PA,SARTORIUS STEDIM BIOTECH,FR0013154002
1,SAVE.PA,SAVENCIA,FR0000120107
1,SU.PA,SCHNEIDER ELECTRIC,FR0000121972
1,SCR.PA,SCOR,FR0010411983
1,SK.PA,SEB,FR0000121709
1,SCHP.PA,SECHE ENVIRON,FR0000039109
1,SESG.PA,SES,LU0088087324
1,GLE.PA,SOCIETE GENERALE,FR0000130809
1,SW.PA,SODEXO,FR0000121220
1,SOI.PA,SOITEC,FR0013227113
1,LOCAL.PA,SOLOCAL GROUP,FR00140006O9
1,S30.PA,SOLUTIONS 30,FR0013379484
1,SOP.PA,SOPRA STERIA,FR0000050809
1,SPIE.PA,SPIE,FR0012757854
1,STF.PA,STEF,FR0000064271
1,STLAP.PA,STELLANTIS,NL00150001Q9
1,STMPA.PA,STMICROELECTRONICS,NL0000226223
1,SWP.PA,SWORD GROUP,FR0004180578
1,SDG.PA,SYNERGIE,FR0000032658
1,TE.PA,TECHNIP ENERGIES,NL0014559478
1,TEP.PA,TELEPERFORMANCE,FR0000051807
1,TFI.PA,TF1,FR0000054900
1,TFF.PA,TFF GROUP,FR0013295789
1,HO.PA,THALES,FR0000121329
1,TKO.PA,TIKEHAU CAPITAL,FR0013230612
1,TTE.PA,TOTALENERGIES,FR0000120271
1,EIFF.PA,TOUR EIFFEL,FR0000036816
1,TNG.PA,TRANSGENE,FR0005175080
1,TRI.PA,TRIGANO,FR0005691656
1,UBI.PA,UBISOFT ENTERTAIN.,FR0000054470
1,FR.PA,VALEO,FR0013176526
1,ALVIO.PA,VALERIO THERAPEUTICS,FR0010095596
1,VK.PA,VALLOUREC,FR0013506730
1,VLA.PA,VALNEVA,FR0004056851
1,VIE.PA,VEOLIA,FR0000124141
1,VRLA.PA,VERALLIA,FR0013447729
1,VMX.PA,VERIMATRIX,FR0010291245
1,VCT.PA,VICAT,FR0000031775
1,DG.PA,VINCI,FR0000125486
1,VIRP.PA,VIRBAC,FR0000031577
1,VIV.PA,VIVENDI,FR0000127771
1,VLTSA.PA,VOLTALIA,FR0011995588
1,VRAP.PA,VRANKEN-POMMERY MO.,FR0000062796
1,WAVE.PA,WAVESTONE,FR0013357621
1,MF.PA,WENDEL,FR0000121204
1,WLN.PA,WORLDLINE,FR0011981968